"","ZM9083","ZM9051","ZM8963_1","ZM9046","ZM9099","ZM8966_1","ZM9086","ZM9064","ZM8964_1","ZM9097","ZM9067","ZM9014","ZM9016","ZM9017","ZM9023","ZM9081","ZM8965_1","ZM9085","ZM9027","ZM9029","ZM9019","ZM9073","ZM9021","ZM9091","ZM9065","ZM9147","ZM9089","ZM9128","ZM9144","ZM9117","ZM9038","ZM9109","ZM9146","ZM9041","ZM9059","ZM9056","ZM9060","ZM9043","ZM9066","ZM9156","ZM9153","ZM9134","ZM9151","ZM9036","ZM9098","ZM9110","ZM9162","ZM9042","ZM9158","ZM9101","ZM9037","ZM9114","ZM9103","ZM9092","ZM9063","ZM9145","ZM9035","ZM9161","ZM9149","ZM9055","ZM9057","ZM9167","ZM9214","ZM9053","ZM9185","ZM9178","ZM9107","ZM9165","ZM9220","ZM9204","ZM9199","ZM9115","ZM9211","ZM9209","ZM9201","ZM9208","ZM9188","ZM9033","ZM9106","ZM9213","ZM9221","ZM9192","ZM9182","ZM9039","ZM9168","ZM9205","ZM9196","ZM9181","ZM9069","ZM9169","ZM9170","ZM9193","ZM9207","ZM9195","ZM9177","ZM9187","ZM9166","ZM9163","ZM9194","ZM9189","ZM9084","ZM9212","ZM9215","ZM9171","ZM9200","ZM9206","ZM9191","ZM8980","ZM8996","ZM9000","ZM8973","ZM8988","ZM8992","ZM9001","ZM8968","ZM9011","ZM8972","ZM8970","ZM9005","ZM9012","ZM8983","ZM8991","ZM8977","ZM8982","ZM8974","ZM9002","ZM9006","ZM9004","ZM8981","ZM8966_2","ZM9009","ZM8984","ZM8999","ZM8998","ZM8993","ZM8979","ZM8997","ZM8971","ZM8994","ZM8987","ZM8963_2","ZM9003","ZM8986","ZM8965_2","ZM9007","ZM8975","ZM8985","ZM9013","ZM9155","ZM8995","ZM9010","ZM8976","ZM8964_2","ZM8978","ZM8990"
"ZM9083",0,0.26578073089701,0.273972602739726,0.199275362318841,0.253378378378378,0.24113475177305,0.105660377358491,0.264808362369338,0.340909090909091,0.222996515679443,0.186567164179104,0.14760147601476,0.0950570342205324,0.339393939393939,0.279605263157895,0.228136882129278,0.370481927710843,0.233449477351916,0.0919540229885057,0.106060606060606,0.173584905660377,0.10727969348659,0.331288343558282,0.274914089347079,0.230769230769231,0.271523178807947,0.279069767441861,0.293548387096774,0.209964412811388,0.264406779661017,0.267326732673267,0.26027397260274,0.248275862068966,0.26158940397351,0.249134948096886,0.241992882562278,0.235087719298246,0.240418118466899,0.22887323943662,0.232638888888889,0.273648648648649,0.270903010033445,0.28476821192053,0.292682926829268,0.323717948717949,0.331269349845201,0.27124183006536,0.265232974910394,0.229681978798587,0.270903010033445,0.197761194029851,0.284745762711864,0.319488817891374,0.306397306397306,0.25177304964539,0.27,0.224561403508772,0.247457627118644,0.249134948096886,0.207272727272727,0.225352112676056,0.288961038961039,0.283333333333333,0.232638888888889,0.26578073089701,0.26578073089701,0.278523489932886,0.183520599250936,0.299342105263158,0.267100977198697,0.269736842105263,0.306709265175719,0.310897435897436,0.239583333333333,0.281456953642384,0.231578947368421,0.274834437086093,0.235087719298246,0.279069767441861,0.317460317460317,0.295454545454545,0.274834437086093,0.27027027027027,0.224199288256228,0.236666666666667,0.287581699346405,0.3,0.279605263157895,0.207885304659498,0.28476821192053,0.279605263157895,0.266666666666667,0.202166064981949,0.302631578947368,0.283333333333333,0.160142348754448,0.228070175438597,0.322085889570552,0.275167785234899,0.299342105263158,0.170818505338078,0.316770186335404,0.326153846153846,0.21,0.27891156462585,0.31875,0.281967213114754,0.282958199356913,0.29746835443038,0.0877862595419847,0.283387622149837,0.275510204081633,0.320987654320988,0.264900662251656,0.295819935691318,0.28525641025641,0.115241635687732,0.310240963855422,0.323076923076923,0.202702702702703,0.277777777777778,0.3125,0.328313253012048,0.279220779220779,0.160919540229885,0.276872964169381,0.268852459016393,0.283870967741935,0.256666666666667,0.289389067524116,0.280645161290323,0.205035971223022,0.263843648208469,0.195286195286195,0.257328990228013,0.186567164179104,0.317757009345794,0.311320754716981,0.232786885245902,0.25503355704698,0.282958199356913,0.0877862595419847,0.270967741935484,0.0846153846153846,0.226229508196721,0.270627062706271,0.280645161290323,0.28525641025641,0.240677966101695,0.320474777448071,0.327217125382263,0.212230215827338,0.26,0.273615635179153,0.260869565217391
"ZM9051",0.26578073089701,0,0.211920529801324,0.180887372013652,0.227564102564103,0.255737704918033,0.218543046357616,0.183673469387755,0.268987341772152,0.203947368421053,0.174825174825175,0.253246753246753,0.221854304635762,0.302325581395349,0.253125,0.244755244755245,0.287833827893175,0.213815789473684,0.214046822742475,0.225165562913907,0.162544169611307,0.197278911564626,0.294117647058823,0.247557003257329,0.234527687296417,0.250783699059561,0.201298701298701,0.200636942675159,0.185185185185185,0.214983713355049,0.252336448598131,0.198675496688742,0.216393442622951,0.235849056603774,0.222950819672131,0.178694158075601,0.209302325581395,0.190635451505017,0.209302325581395,0.224755700325733,0.25796178343949,0.244444444444444,0.230031948881789,0.240802675585284,0.242138364779874,0.257575757575758,0.277439024390244,0.219178082191781,0.185810810810811,0.266457680250784,0.191637630662021,0.251612903225806,0.227129337539432,0.238562091503268,0.206779661016949,0.232484076433121,0.187290969899666,0.238853503184713,0.24025974025974,0.188356164383562,0.223684210526316,0.19551282051282,0.261829652996845,0.207236842105263,0.205787781350482,0.25625,0.229032258064516,0.171929824561403,0.266457680250784,0.246913580246914,0.210191082802548,0.208860759493671,0.19551282051282,0.196013289036545,0.226837060702875,0.193979933110368,0.253918495297806,0.203333333333333,0.224358974358974,0.263803680981595,0.196141479099678,0.173770491803279,0.185430463576159,0.216666666666667,0.206349206349206,0.25,0.22397476340694,0.247648902821317,0.183050847457627,0.230031948881789,0.258566978193146,0.200647249190938,0.189830508474576,0.275,0.256329113924051,0.244444444444444,0.20265780730897,0.211656441717791,0.231511254019293,0.174917491749175,0.19672131147541,0.243161094224924,0.27893175074184,0.253048780487805,0.24025974025974,0.233846153846154,0.169934640522876,0.256880733944954,0.260606060606061,0.215946843853821,0.22397476340694,0.177852348993289,0.273809523809524,0.227848101265823,0.23125,0.264437689969605,0.219672131147541,0.313559322033898,0.275964391691395,0.268292682926829,0.267692307692308,0.27027027027027,0.28695652173913,0.258461538461538,0.163701067615658,0.22884012539185,0.231974921630094,0.257668711656442,0.225396825396825,0.268292682926829,0.259938837920489,0.204697986577181,0.259938837920489,0.24,0.237654320987654,0.174825174825175,0.280597014925373,0.268882175226586,0.268072289156627,0.217948717948718,0.26219512195122,0.215946843853821,0.266666666666667,0.214046822742475,0.272455089820359,0.222222222222222,0.265243902439024,0.264437689969605,0.226837060702875,0.294617563739377,0.28023598820059,0.162068965517241,0.217252396166134,0.253086419753086,0.229299363057325
"ZM8963_1",0.273972602739726,0.211920529801324,0,0.199300699300699,0.240131578947368,0.245733788395904,0.231292517006803,0.0674157303370787,0.276872964169381,0.222222222222222,0.18705035971223,0.249158249158249,0.228668941979522,0.274390243902439,0.271565495207668,0.246376811594203,0.295731707317073,0.202054794520548,0.220689655172414,0.226027397260274,0.167883211678832,0.20979020979021,0.249221183800623,0.249158249158249,0.223728813559322,0.274760383386581,0.219269102990033,0.194719471947195,0.215753424657534,0.233333333333333,0.270700636942675,0.204778156996587,0.240802675585284,0.259615384615385,0.235690235690236,0.222222222222222,0.227891156462585,0.190311418685121,0.203448275862069,0.243333333333333,0.27124183006536,0.180272108843537,0.213333333333333,0.217543859649123,0.196666666666667,0.280864197530864,0.268987341772152,0.112781954887218,0.204152249134948,0.228476821192053,0.191335740072202,0.223728813559322,0.245161290322581,0.227891156462585,0.243986254295533,0.262135922330097,0.21160409556314,0.257328990228013,0.253333333333333,0.213286713286713,0.224489795918367,0.224755700325733,0.180887372013652,0.219594594594595,0.252427184466019,0.269230769230769,0.212121212121212,0.184115523465704,0.198653198653199,0.264984227129338,0.239482200647249,0.197368421052632,0.218954248366013,0.195876288659794,0.215946843853821,0.193771626297578,0.272435897435897,0.221843003412969,0.207357859531773,0.271293375394322,0.213815789473684,0.221122112211221,0.203389830508475,0.223367697594502,0.241157556270096,0.245954692556634,0.230519480519481,0.271565495207668,0.163120567375887,0.213333333333333,0.277070063694268,0.224422442244224,0.202090592334495,0.183673469387755,0.180887372013652,0.245901639344262,0.177700348432056,0.256172839506173,0.196610169491525,0.228476821192053,0.220735785953177,0.276923076923077,0.296969696969697,0.281733746130031,0.223728813559322,0.273291925465838,0.222950819672131,0.264150943396226,0.289230769230769,0.222602739726027,0.253205128205128,0.0769230769230769,0.296969696969697,0.234527687296417,0.214983713355049,0.261006289308176,0.232323232323232,0.311953352769679,0.293939393939394,0.259493670886076,0.280757097791798,0.245283018867924,0.309734513274336,0.282131661442006,0.169117647058823,0.241157556270096,0.238709677419355,0.253968253968254,0.266025641025641,0.253968253968254,0.256329113924051,0.217241379310345,0.256329113924051,0.279503105590062,0.255520504731861,0.18705035971223,0.288343558282209,0.243670886075949,0.275541795665635,0.230263157894737,0.258675078864353,0.222602739726027,0.263322884012539,0.220689655172414,0.28,0.22875816993464,0.261829652996845,0.261006289308176,0.233552631578947,0.302325581395349,0.298192771084337,0.186619718309859,0.223684210526316,0.254777070063694,0.236065573770492
"ZM9046",0.199275362318841,0.180887372013652,0.199300699300699,0,0.185567010309278,0.176258992805755,0.154676258992806,0.188612099644128,0.236486486486487,0.152482269503546,0.103053435114504,0.174377224199288,0.151624548736462,0.263975155279503,0.214046822742475,0.172413793103448,0.280373831775701,0.136690647482014,0.135531135531135,0.155234657039711,0.0813953488372093,0.122676579925651,0.254716981132076,0.2,0.146953405017921,0.187074829931973,0.18213058419244,0.205980066445183,0.124087591240876,0.184027777777778,0.236842105263158,0.172535211267606,0.166077738515901,0.225165562913907,0.166666666666667,0.163636363636364,0.164285714285714,0.10989010989011,0.144404332129964,0.162544169611307,0.206185567010309,0.191780821917808,0.175862068965517,0.197841726618705,0.22,0.259493670886076,0.205980066445183,0.193430656934307,0.131386861313869,0.204081632653061,0.114503816793893,0.192307692307692,0.21,0.202797202797203,0.180505415162455,0.184931506849315,0.146953405017921,0.197952218430034,0.185964912280702,0.133333333333333,0.134057971014493,0.212624584717608,0.192439862542955,0.156028368794326,0.193220338983051,0.205387205387205,0.167832167832168,0.0996168582375478,0.210169491525424,0.196013289036545,0.185810810810811,0.226229508196721,0.212624584717608,0.15,0.172413793103448,0.173758865248227,0.226666666666667,0.13768115942029,0.169550173010381,0.243506493506494,0.207357859531773,0.178082191780822,0.177700348432056,0.15884476534296,0.211920529801324,0.192567567567568,0.188552188552189,0.214046822742475,0.148550724637681,0.175862068965517,0.225913621262459,0.2,0.142335766423358,0.219594594594595,0.198630136986301,0.185567010309278,0.143884892086331,0.239747634069401,0.170731707317073,0.210169491525424,0.170731707317073,0.227564102564103,0.260188087774295,0.209150326797386,0.173144876325088,0.251592356687898,0.198653198653199,0.195364238410596,0.234726688102894,0.144927536231884,0.218543046357616,0.195121951219512,0.254716981132076,0.198653198653199,0.214521452145215,0.186046511627907,0.156583629893238,0.27190332326284,0.25705329153605,0.201986754966887,0.224422442244224,0.23961661341853,0.258461538461538,0.220394736842105,0.0745098039215686,0.211920529801324,0.209302325581395,0.19,0.171232876712329,0.213815789473684,0.192691029900332,0.131868131868132,0.186666666666667,0.224025974025974,0.215686274509804,0.103053435114504,0.245222929936306,0.237942122186495,0.184818481848185,0.193877551020408,0.183333333333333,0.144927536231884,0.188741721854305,0.142335766423358,0.196078431372549,0.204697986577181,0.192691029900332,0.186046511627907,0.172413793103448,0.246200607902736,0.25625,0.118518518518518,0.199324324324324,0.178451178451178,0.181506849315068
"ZM9099",0.253378378378378,0.227564102564103,0.240131578947368,0.185567010309278,0,0.170138888888889,0.223333333333333,0.224832214765101,0.268370607028754,0.13448275862069,0.185964912280702,0.235099337748344,0.214765100671141,0.266467065868264,0.257861635220126,0.237588652482269,0.282282282282282,0.218543046357616,0.212837837837838,0.224080267558528,0.154121863799283,0.202054794520548,0.246951219512195,0.217391304347826,0.204013377926421,0.244444444444444,0.2,0.222222222222222,0.171232876712329,0.207920792079208,0.251572327044025,0.197324414715719,0.209302325581395,0.246056782334385,0.204013377926421,0.220338983050847,0.214046822742475,0.207357859531773,0.189830508474576,0.223684210526316,0.257234726688103,0.209150326797386,0.205882352941177,0.227891156462585,0.171617161716172,0.240740740740741,0.255451713395639,0.217993079584775,0.202702702702703,0.185430463576159,0.190140845070423,0.233552631578947,0.226114649681529,0.22,0.22972972972973,0.19672131147541,0.197986577181208,0.226537216828479,0.239344262295082,0.193103448275862,0.210702341137124,0.245283018867924,0.227272727272727,0.211920529801324,0.233226837060703,0.255520504731861,0.216393442622951,0.183098591549296,0.237942122186495,0.251552795031056,0.242902208201893,0.230283911671924,0.239747634069401,0.188552188552189,0.225806451612903,0.198653198653199,0.269592476489028,0.214046822742475,0.223300970873786,0.263157894736842,0.229299363057325,0.207792207792208,0.201986754966887,0.215488215488216,0.227848101265823,0.249211356466877,0.228571428571429,0.257861635220126,0.212121212121212,0.217532467532468,0.263322884012539,0.228295819935691,0.188356164383562,0.235483870967742,0.227272727272727,0.243589743589744,0.207357859531773,0.264264264264264,0.218954248366013,0.237942122186495,0.213114754098361,0.231481481481482,0.208722741433022,0.268292682926829,0.215946843853821,0.221875,0.226837060702875,0.223270440251572,0.259938837920489,0.214765100671141,0.25625,0.224422442244224,0.197492163009404,0.238095238095238,0.235849056603774,0.225705329153605,0.224422442244224,0.313390313390313,0.205607476635514,0.229559748427673,0.25625,0.259146341463415,0.224242424242424,0.257763975155279,0.161870503597122,0.25,0.247648902821317,0.22397476340694,0.224358974358974,0.251552795031056,0.220820189274448,0.209459459459459,0.220820189274448,0.26605504587156,0.258461538461538,0.185964912280702,0.20440251572327,0.268292682926829,0.246153846153846,0.233974358974359,0.22884012539185,0.208754208754209,0.228125,0.212837837837838,0.24,0.243670886075949,0.231974921630094,0.225705329153605,0.231511254019293,0.269565217391304,0.204968944099379,0.191780821917808,0.244444444444444,0.213375796178344,0.205211726384365
"ZM8966_1",0.24113475177305,0.255737704918033,0.245733788395904,0.176258992805755,0.170138888888889,0,0.203508771929825,0.229965156794425,0.291803278688525,0.136200716845878,0.156133828996282,0.23448275862069,0.187943262411348,0.303951367781155,0.246710526315789,0.210526315789474,0.33030303030303,0.192307692307692,0.192170818505338,0.204225352112676,0.128787878787879,0.18705035971223,0.295384615384615,0.222222222222222,0.183098591549296,0.202702702702703,0.228187919463087,0.244299674267101,0.180851063829787,0.224489795918367,0.251633986928105,0.219931271477663,0.201388888888889,0.240131578947368,0.195804195804196,0.231578947368421,0.206293706293706,0.205574912891986,0.174377224199288,0.197916666666667,0.25752508361204,0.225589225589226,0.216216216216216,0.23943661971831,0.246710526315789,0.257142857142857,0.232786885245902,0.229390681003584,0.187943262411348,0.195205479452055,0.174074074074074,0.232876712328767,0.254071661237785,0.255102040816326,0.235087719298246,0.200680272108844,0.183098591549296,0.219594594594595,0.220689655172414,0.177536231884058,0.177304964539007,0.273311897106109,0.244147157190635,0.210344827586207,0.23841059602649,0.244224422442244,0.215017064846416,0.152985074626866,0.249169435215947,0.251612903225806,0.254071661237785,0.258064516129032,0.273311897106109,0.198606271777004,0.230769230769231,0.209059233449477,0.264705882352941,0.2,0.216216216216216,0.269230769230769,0.268608414239482,0.224080267558528,0.224489795918367,0.201413427561837,0.255663430420712,0.254901960784314,0.239344262295082,0.246710526315789,0.191489361702128,0.216216216216216,0.252459016393443,0.239202657807309,0.185714285714286,0.252491694352159,0.238255033557047,0.237458193979933,0.199300699300699,0.301829268292683,0.205479452054795,0.266447368421053,0.217687074829932,0.253164556962025,0.207119741100324,0.268987341772152,0.22680412371134,0.249201277955272,0.249180327868852,0.256410256410256,0.254777070063694,0.19434628975265,0.245098039215686,0.241496598639456,0.207119741100324,0.243421052631579,0.235294117647059,0.253205128205128,0.204861111111111,0.305637982195846,0.203883495145631,0.245954692556634,0.245098039215686,0.259493670886076,0.22884012539185,0.246753246753247,0.122605363984674,0.25,0.247557003257329,0.245954692556634,0.217391304347826,0.273885350318471,0.248387096774194,0.188612099644128,0.248387096774194,0.261146496815287,0.253205128205128,0.156133828996282,0.19672131147541,0.25796178343949,0.262658227848101,0.233333333333333,0.2508038585209,0.19434628975265,0.255591054313099,0.198581560283688,0.250793650793651,0.243421052631579,0.248387096774194,0.253205128205128,0.200680272108844,0.300884955752212,0.203225806451613,0.189285714285714,0.232558139534884,0.246753246753247,0.209459459459459
"ZM9086",0.105660377358491,0.218543046357616,0.231292517006803,0.154676258992806,0.223333333333333,0.203508771929825,0,0.221453287197232,0.3,0.179930795847751,0.119850187265918,0.0814814814814815,0.0342205323193916,0.29607250755287,0.226973684210526,0.194756554307116,0.337313432835821,0.196551724137931,0.0381679389312977,0.0380228136882129,0.134328358208955,0.0608365019011406,0.287461773700306,0.226027397260274,0.193771626297578,0.218543046357616,0.237623762376238,0.253205128205128,0.178947368421053,0.216216216216216,0.226229508196721,0.223728813559322,0.205479452054795,0.220394736842105,0.218430034129693,0.210526315789474,0.191637630662021,0.203448275862069,0.178947368421053,0.195876288659794,0.225589225589226,0.235099337748344,0.237623762376238,0.249134948096886,0.277955271565495,0.287037037037037,0.213114754098361,0.220640569395018,0.166666666666667,0.235099337748344,0.165441176470588,0.242424242424242,0.284810126582278,0.264214046822743,0.22027972027972,0.240131578947368,0.181184668989547,0.217391304347826,0.218430034129693,0.149090909090909,0.18815331010453,0.248387096774194,0.247524752475248,0.177083333333333,0.218543046357616,0.218543046357616,0.230769230769231,0.123595505617977,0.258169934640523,0.226537216828479,0.22875816993464,0.266666666666667,0.270700636942675,0.196551724137931,0.234323432343234,0.194444444444444,0.221854304635762,0.197916666666667,0.231788079470199,0.261146496815287,0.260450160771704,0.233552631578947,0.234113712374582,0.173758865248227,0.195364238410596,0.241042345276873,0.254019292604502,0.232786885245902,0.157142857142857,0.237623762376238,0.232786885245902,0.219269102990033,0.170818505338078,0.267100977198697,0.247524752475248,0.103202846975089,0.171929824561403,0.273006134969325,0.221476510067114,0.252459016393443,0.127208480565371,0.277777777777778,0.276923076923077,0.162790697674419,0.242424242424242,0.279503105590062,0.235294117647059,0.231511254019293,0.246835443037975,0.0267175572519084,0.231270358306189,0.233108108108108,0.282208588957055,0.217821782178218,0.25,0.245222929936306,0.0338345864661654,0.267267267267267,0.279141104294479,0.161073825503356,0.225490196078431,0.26791277258567,0.285285285285285,0.233009708737864,0.121212121212121,0.230519480519481,0.222222222222222,0.249201277955272,0.203333333333333,0.243589743589744,0.240384615384615,0.140794223826715,0.223300970873786,0.135135135135135,0.205211726384365,0.119850187265918,0.273291925465838,0.271875,0.186274509803922,0.213333333333333,0.242811501597444,0.0267175572519084,0.230769230769231,0.0306513409961686,0.185667752442997,0.223684210526316,0.229032258064516,0.245222929936306,0.192567567567568,0.283185840707965,0.283536585365854,0.167857142857143,0.212624584717608,0.233009708737864,0.213333333333333
"ZM9064",0.264808362369338,0.183673469387755,0.0674157303370787,0.188612099644128,0.224832214765101,0.229965156794425,0.221453287197232,0,0.279605263157895,0.212328767123288,0.175824175824176,0.23972602739726,0.21875,0.282208588957055,0.257328990228013,0.236162361623616,0.303680981595092,0.204152249134948,0.210526315789474,0.21602787456446,0.156133828996282,0.199288256227758,0.2625,0.245733788395904,0.219931271477663,0.266233766233766,0.215488215488216,0.196666666666667,0.211805555555556,0.223728813559322,0.267741935483871,0.206896551724138,0.225255972696246,0.256493506493506,0.219931271477663,0.21830985915493,0.236301369863014,0.179577464788732,0.199300699300699,0.233898305084746,0.250836120401338,0.175862068965517,0.215488215488216,0.207142857142857,0.222591362126246,0.272727272727273,0.266025641025641,0.0996168582375478,0.193661971830986,0.212837837837838,0.186813186813187,0.232081911262799,0.236065573770492,0.230240549828179,0.240418118466899,0.247524752475248,0.201388888888889,0.248344370860927,0.25,0.202846975088968,0.208333333333333,0.226973684210526,0.182758620689655,0.209621993127148,0.249180327868852,0.254901960784314,0.214285714285714,0.172794117647059,0.200680272108844,0.2508038585209,0.236065573770492,0.211221122112211,0.221122112211221,0.204152249134948,0.218120805369127,0.176678445229682,0.252459016393443,0.211805555555556,0.209459459459459,0.268370607028754,0.221854304635762,0.211409395973154,0.199312714776632,0.200704225352113,0.243506493506494,0.242622950819672,0.226973684210526,0.251633986928105,0.144927536231884,0.215488215488216,0.251633986928105,0.232558139534884,0.185053380782918,0.191780821917808,0.182758620689655,0.248344370860927,0.179577464788732,0.258566978193146,0.204778156996587,0.224832214765101,0.210884353741497,0.257861635220126,0.283950617283951,0.273584905660377,0.226027397260274,0.264984227129338,0.219269102990033,0.266666666666667,0.270440251572327,0.212543554006969,0.226973684210526,0.0415094339622641,0.283950617283951,0.219269102990033,0.234527687296417,0.263492063492063,0.222602739726027,0.299703264094956,0.280864197530864,0.261980830670926,0.261290322580645,0.24203821656051,0.292168674698795,0.262820512820513,0.157303370786517,0.226229508196721,0.223684210526316,0.256410256410256,0.251633986928105,0.245161290322581,0.258785942492013,0.207017543859649,0.258785942492013,0.26031746031746,0.241157556270096,0.175824175824176,0.280373831775701,0.240384615384615,0.272727272727273,0.214765100671141,0.261146496815287,0.212543554006969,0.265822784810127,0.210526315789474,0.277258566978193,0.213333333333333,0.264331210191083,0.263492063492063,0.23,0.3,0.285276073619632,0.188612099644128,0.208053691275168,0.251612903225806,0.23841059602649
"ZM8964_1",0.340909090909091,0.268987341772152,0.276872964169381,0.236486486486487,0.268370607028754,0.291803278688525,0.3,0.279605263157895,0,0.240131578947368,0.261904761904762,0.310897435897436,0.292207792207792,0.314705882352941,0.2875,0.324232081911263,0.279635258358663,0.25,0.285245901639344,0.295454545454545,0.25085910652921,0.275747508305648,0.316568047337278,0.266447368421053,0.298076923076923,0.311728395061728,0.183946488294314,0.257861635220126,0.24,0.256493506493506,0.286604361370717,0.246710526315789,0.252459016393443,0.28125,0.241721854304636,0.292763157894737,0.285714285714286,0.239202657807309,0.29126213592233,0.260586319218241,0.287539936102236,0.268370607028754,0.248387096774194,0.265993265993266,0.226537216828479,0.290909090909091,0.316109422492401,0.291946308724832,0.269736842105263,0.279365079365079,0.254295532646048,0.298076923076923,0.132203389830508,0.234113712374582,0.29042904290429,0.273015873015873,0.281553398058252,0.279365079365079,0.292604501607717,0.267558528428094,0.293548387096774,0.230769230769231,0.269230769230769,0.260586319218241,0.285266457680251,0.285266457680251,0.270096463022508,0.25938566552901,0.273885350318471,0.286153846153846,0.272727272727273,0.254716981132076,0.213592233009709,0.208754208754209,0.273015873015873,0.254125412541254,0.299065420560748,0.257425742574257,0.276190476190476,0.297546012269939,0.225806451612903,0.244372990353698,0.215946843853821,0.287581699346405,0.235668789808917,0.273584905660377,0.269592476489028,0.276729559748428,0.278688524590164,0.281645569620253,0.2875,0.280757097791798,0.256666666666667,0.271565495207668,0.269230769230769,0.300940438871473,0.26797385620915,0.245398773006135,0.25,0.24025974025974,0.272435897435897,0.244582043343653,0.301492537313433,0.307228915662651,0.281553398058252,0.267692307692308,0.251592356687898,0.295731707317073,0.299093655589124,0.292207792207792,0.296296296296296,0.27831715210356,0.296407185628742,0.295031055900621,0.254716981132076,0.276923076923077,0.300319488817891,0.33048433048433,0.298507462686567,0.301829268292683,0.291021671826625,0.282674772036474,0.304093567251462,0.287037037037037,0.246527777777778,0.295384615384615,0.298461538461538,0.270186335403727,0.2875,0.291411042944785,0.277777777777778,0.281967213114754,0.288343558282209,0.310240963855422,0.303030303030303,0.261904761904762,0.293051359516616,0.276073619631902,0.301204819277108,0.302180685358255,0.274691358024691,0.292207792207792,0.284403669724771,0.285245901639344,0.3003003003003,0.289719626168224,0.283076923076923,0.276923076923077,0.273015873015873,0.311428571428571,0.297619047619048,0.248322147651007,0.285266457680251,0.265625,0.247588424437299
"ZM9097",0.222996515679443,0.203947368421053,0.222222222222222,0.152482269503546,0.13448275862069,0.136200716845878,0.179930795847751,0.212328767123288,0.240131578947368,0,0.145454545454546,0.204778156996587,0.170731707317073,0.27710843373494,0.224025974025974,0.211678832116788,0.293051359516616,0.193877551020408,0.174825174825175,0.186851211072664,0.111524163568773,0.156583629893238,0.273556231003039,0.198630136986301,0.191126279863481,0.198019801980198,0.193333333333333,0.210355987055016,0.163763066202091,0.201342281879195,0.251592356687898,0.184300341296928,0.178082191780822,0.234726688102894,0.166089965397924,0.201388888888889,0.195205479452055,0.175862068965517,0.182758620689655,0.187074829931973,0.240131578947368,0.208609271523179,0.168918918918919,0.221453287197232,0.200657894736842,0.229559748427673,0.216129032258065,0.211267605633803,0.170731707317073,0.184563758389262,0.136029411764706,0.215488215488216,0.208469055374593,0.219594594594595,0.198606271777004,0.196013289036545,0.166089965397924,0.20265780730897,0.209459459459459,0.146953405017921,0.179310344827586,0.22258064516129,0.226973684210526,0.187074829931973,0.215686274509804,0.233009708737864,0.21,0.142335766423358,0.23202614379085,0.217948717948718,0.225806451612903,0.218649517684887,0.22258064516129,0.181506849315068,0.219672131147541,0.179310344827586,0.247588424437299,0.182758620689655,0.205298013245033,0.246835443037975,0.211726384364821,0.18936877076412,0.17687074829932,0.196551724137931,0.198697068403909,0.220779220779221,0.216828478964401,0.235483870967742,0.16140350877193,0.211221122112211,0.241157556270096,0.198675496688742,0.15547703180212,0.235294117647059,0.226973684210526,0.20265780730897,0.18213058419244,0.243076923076923,0.170068027210884,0.214521452145215,0.188552188552189,0.208860759493671,0.196825396825397,0.230283911671924,0.215488215488216,0.198717948717949,0.191419141914191,0.234177215189873,0.232704402515723,0.170731707317073,0.216828478964401,0.212121212121212,0.191082802547771,0.209150326797386,0.212903225806452,0.225396825396825,0.181506849315068,0.289473684210526,0.193650793650794,0.223642172523962,0.233974358974359,0.231974921630094,0.207430340557275,0.235668789808917,0.119402985074627,0.221864951768489,0.219354838709677,0.217948717948718,0.194719471947195,0.251572327044025,0.220447284345048,0.171328671328671,0.220447284345048,0.238993710691824,0.225396825396825,0.145454545454546,0.186495176848875,0.241379310344828,0.229559748427673,0.210526315789474,0.222929936305732,0.164335664335664,0.227848101265823,0.174825174825175,0.223270440251572,0.214983713355049,0.220447284345048,0.225396825396825,0.19,0.284883720930233,0.193037974683544,0.159010600706714,0.209836065573771,0.212903225806452,0.180602006688963
