id,pop,num_in_file,lat,lon,INSTCODE,ACCENUMB,acc_name,collection_site,province,elevation,eval,copy,duplicates,Cluster6,Cluster8,pop2,pop3,Plate,Genotype
ZM9083,Zambia,1,-13.9374,32.22187,ZMB048,ZM9083,Ze blue,Chipata,Eastern province,1006,keep,Zambia,Zambia,Cluster3,Cluster5,keep,keep,DSp22-7146_1,ZM9083
ZM9051,Zambia,2,-14.20884,31.20936,ZMB048,ZM9051,NA,Petauke,Eastern province,1027,keep,Zambia,Zambia,Cluster6,Cluster6,keep,keep,DSp22-7146_1,ZM9051
ZM8963_1,Zambia,3,-16.51255,26.68789,ZMB048,ZM8963,Navik,Choma,Southern province,1197,keep,copy,copy1,Cluster1,Cluster4,drop,drop,DSp22-7146_1,ZM8963
ZM9001,Zambia,4,-16.56352,26.74303,ZMB048,ZM9001,Bena Vicky,Choma,Southern province,1267,drop,copy,copy5,NA,NA,drop,drop,DSp22-7146_1,ZM9001
ZM9046,Zambia,6,-14.20884,31.20936,ZMB048,ZM9046,NA,Petauke,Eastern province,1027,keep,Zambia,Zambia,Cluster4,Cluster2,keep,keep,DSp22-7146_1,ZM9046
ZM9099,Zambia,7,-12.20527,26.4064,ZMB048,ZM9099,Chingovwa,Solwezi,North-western province,1335,keep,Zambia,Zambia,Cluster1,Cluster8,keep,keep,DSp22-7146_1,ZM9099
ZM8966_1,Zambia,9,-16.51255,26.68789,ZMB048,ZM8966,Mbata,Choma,Southern province,1197,keep,copy,copy4,Cluster5,Cluster1,drop,drop,DSp22-7146_1,ZM8966
ZM9086,Zambia,10,-14.5425,30.9292,ZMB048,ZM9086,Mwanchalilanji,Nyimba,Eastern province,863,keep,Zambia,Zambia,Cluster3,Cluster5,keep,keep,DSp22-7146_1,ZM9086
ZM9064,Zambia,11,-14.20404,31.20842,ZMB048,ZM9064,NA,Petauke,Eastern province,1030,keep,Zambia,Zambia,Cluster1,Cluster4,keep,keep,DSp22-7146_1,ZM9064
ZM8964_1,Zambia,12,-16.51255,26.68789,ZMB048,ZM8964,Shanga ubone,Choma,Southern province,1197,keep,copy,copy2,Cluster6,Cluster6,drop,drop,DSp22-7146_1,ZM8964
