id,pop,lat,lon,INSTCODE,ACCENUMB,acc_name,collection_site,province,elevation,Plate,Genotype
ZM9083,Zambia,-13.9374,32.22187,ZMB048,ZM9083,Ze blue,Chipata,Eastern province,1006,DSp22-7146_1,ZM9083
ZM9051,Zambia,-14.20884,31.20936,ZMB048,ZM9051,NA,Petauke,Eastern province,1027,DSp22-7146_1,ZM9051
ZM8963_1,Zambia,-16.51255,26.68789,ZMB048,ZM8963,Navik,Choma,Southern province,1197,DSp22-7146_1,ZM8963
ZM9080,Zambia,-13.93771,32.2354,ZMB048,ZM9080,Olympia,Chipata,Eastern province,1045,DSp22-7146_1,ZM9080
ZM9046,Zambia,-14.20884,31.20936,ZMB048,ZM9046,NA,Petauke,Eastern province,1027,DSp22-7146_1,ZM9046
ZM9099,Zambia,-12.20527,26.4064,ZMB048,ZM9099,Chingovwa,Solwezi,North-western province,1335,DSp22-7146_1,ZM9099
ZM8966_1,Zambia,-16.51255,26.68789,ZMB048,ZM8966,Mbata,Choma,Southern province,1197,DSp22-7146_1,ZM8966
ZM9086,Zambia,-14.5425,30.9292,ZMB048,ZM9086,Mwanchalilanji,Nyimba,Eastern province,863,DSp22-7146_1,ZM9086
ZM9064,Zambia,-14.20404,31.20842,ZMB048,ZM9064,NA,Petauke,Eastern province,1030,DSp22-7146_1,ZM9064
ZM8964_1,Zambia,-16.51255,26.68789,ZMB048,ZM8964,Shanga ubone,Choma,Southern province,1197,DSp22-7146_1,ZM8964
ZM9071,Zambia,-13.95709,32.17732,ZMB048,ZM9071,Carrot,Katete,Eastern province,1097,DSp22-7146_1,ZM9071
ZM9087,Zambia,-14.5425,30.9292,ZMB048,ZM9087,NA,Nyimba,Eastern province,863,DSp22-7146_1,ZM9087
ZM9097,Zambia,-12.2048,26.40683,ZMB048,ZM9097,Chingovwa/     Kapokola,Solwezi,North-western province,1336,DSp22-7146_1,ZM9097
ZM9067,Zambia,-14.24528,31.3275,ZMB048,ZM9067,NA,Petauke,Eastern province,1021,DSp22-7146_1,ZM9067
ZM9014,Zambia,-16.71068,26.77833,ZMB048,ZM9014,Kalya balimi,Kalomo,Southern province,1364,DSp22-7146_1,ZM9014
ZM9016,Zambia,-16.27154,27.52578,ZMB048,ZM9016,Mukakandongwe,Monze,Southern province,1081,DSp22-7146_1,ZM9016
ZM9017,Zambia,-16.27154,27.52578,ZMB048,ZM9017,Mukakabola,Monze,Southern province,1081,DSp22-7146_1,ZM9017
ZM9023,Zambia,-16.26016,27.57928,ZMB048,ZM9023,Katende,Monze,Southern province,1105,DSp22-7146_1,ZM9023
ZM9081,Zambia,-13.93821,32.23573,ZMB048,ZM9081,Solwezi,Chipata,Eastern province,1049,DSp22-7146_1,ZM9081
ZM8965_1,Zambia,-16.51255,26.68789,ZMB048,ZM8965,Chirundu,Choma,Southern province,1197,DSp22-7146_1,ZM8965
ZM9085,Zambia,-13.9374,32.22187,ZMB048,ZM9085,Solwezi,Chipata,Eastern province,1006,DSp22-7146_1,ZM9085
ZM9027,Zambia,-16.26016,27.57928,ZMB048,ZM9027,NA,Monze,Southern province,1105,DSp22-7146_1,ZM9027
ZM9029,Zambia,-16.26016,27.57928,ZMB048,ZM9029,Muka Lusaka,Monze,Southern province,1105,DSp22-7146_1,ZM9029
ZM9019,Zambia,-16.27154,27.52578,ZMB048,ZM9019,Kathai,Monze,Southern province,1081,DSp22-7146_1,ZM9019
ZM9049,Zambia,-14.20884,31.20936,ZMB048,ZM9049,NA,Petauke,Eastern province,1027,DSp22-7146_1,ZM9049
ZM9073,Zambia,-13.95606,32.17642,ZMB048,ZM9073,Solwezi,Katete,Eastern province,1141,DSp22-7146_1,ZM9073
ZM9020,Zambia,-16.26016,27.57928,ZMB048,ZM9020,Kapiri,Monze,Southern province,1105,DSp22-7146_1,ZM9020
ZM9021,Zambia,-16.26016,27.57928,ZMB048,ZM9021,Kasempa,Monze,Southern province,1105,DSp22-7146_1,ZM9021
ZM9031,Zambia,-16.26016,27.57928,ZMB048,ZM9031,Kitwe,Monze,Southern province,1105,DSp22-7146_1,ZM9031
